txn_uid,source_system,leg,expected_class,expected_counterpart_ref,expects_hungarian,greedy_differs,trap_group_id,trap_assert,dense_block_id
BNK-0000000,BANK,BANK,MATCHED,M011-123b1612,false,false,,,
BNK-0000001,BANK,BANK,MATCHED,M003-d1371c17,false,false,,,
BNK-0000002,BANK,BANK,MATCHED,M014-9536b321,false,false,,,
BNK-0000003,BANK,BANK,MATCHED,M016-eeb97572,false,false,,,
BNK-0000004,BANK,BANK,MATCHED,M017-e923d5a4,false,false,,,
BNK-0000005,BANK,BANK,MATCHED,M014-aabfe228,false,false,,,
BNK-0000006,BANK,BANK,MATCHED,M003-e9cb0eb5,false,false,,,
BNK-0000007,BANK,BANK,MATCHED,M016-47ccf25e,false,false,,,
BNK-0000008,BANK,BANK,MATCHED,M009-8dbc7425,false,false,,,
BNK-0000009,BANK,BANK,MATCHED,M008-58904dba,false,false,,,
BNK-0000010,BANK,BANK,MATCHED,M017-cccc3fc1,false,false,,,
BNK-0000011,BANK,BANK,MATCHED,M007-a13043b0,false,false,,,
BNK-0000012,BANK,BANK,MATCHED,M007-8bbf33fe,false,false,,,
BNK-0000013,BANK,BANK,MATCHED,M010-a8f506b4,false,false,,,
BNK-0000014,BANK,BANK,MATCHED,M001-8b5b7a76,false,false,,,
BNK-0000015,BANK,BANK,MATCHED,M013-fb008f86,false,false,,,
BNK-0000016,BANK,BANK,MATCHED,M012-b2737f6a,false,false,,,
BNK-0000017,BANK,BANK,MATCHED,M020-b23c6f5d,false,false,,,
BNK-0000018,BANK,BANK,MATCHED,M011-ec255404,false,false,,,
BNK-0000019,BANK,BANK,MATCHED,M015-fb440034,false,false,,,
BNK-0000020,BANK,BANK,MATCHED,M007-697a8d41,false,false,,,
BNK-0000021,BANK,BANK,MATCHED,M012-d440e504,false,false,,,
BNK-0000022,BANK,BANK,MATCHED,M016-af317681,false,false,,,
BNK-0000023,BANK,BANK,MATCHED,M017-2ea68ef7,false,false,,,
BNK-0000024,BANK,BANK,MATCHED,M009-4d3cea27,false,false,,,
BNK-0000025,BANK,BANK,MATCHED,M007-4b484e73,false,false,,,
BNK-0000026,BANK,BANK,TIMING_DIFFERENCE,M016-5dcad6ba,false,false,,,
BNK-0000027,BANK,BANK,MATCHED,M001-e0ca9237,false,false,,,
BNK-0000028,BANK,BANK,MATCHED,M004-1584d8c4,false,false,,,
BNK-0000029,BANK,BANK,MATCHED,M017-2815d280,false,false,,,
BNK-0000030,BANK,BANK,MATCHED,M009-283e0ad8,false,false,,,
BNK-0000031,BANK,BANK,MATCHED,M002-58156996,false,false,,,
BNK-0000032,BANK,BANK,MATCHED,M017-081006f7,false,false,,,
BNK-0000033,BANK,BANK,MATCHED,M004-c967a64c,false,false,,,
BNK-0000034,BANK,BANK,MATCHED,M002-8d512c97,false,false,,,
BNK-0000035,BANK,BANK,MATCHED,M002-8e08baa7,false,false,,,
BNK-0000036,BANK,BANK,MATCHED,M012-c2f86702,false,false,,,
BNK-0000037,BANK,BANK,MATCHED,M003-1c099724,false,false,,,
BNK-0000038,BANK,BANK,MATCHED,M020-f4941d40,false,false,,,
BNK-0000039,BANK,BANK,MATCHED,M019-14b3ce10,false,false,,,
BNK-0000040,BANK,BANK,MATCHED,M008-e222f828,false,false,,,
BNK-0000041,BANK,BANK,MATCHED,M007-efc2f916,false,false,,,
BNK-0000042,BANK,BANK,MATCHED,M005-940f1f83,false,false,,,
BNK-0000043,BANK,BANK,MATCHED,M016-9eee3692,false,false,,,
BNK-0000044,BANK,BANK,MATCHED,M001-e8c66224,false,false,,,
BNK-0000045,BANK,BANK,MATCHED,M009-83b7ffc0,false,false,,,
BNK-0000046,BANK,BANK,MATCHED,M016-4dbca3a0,false,false,,,
BNK-0000047,BANK,BANK,MATCHED,M011-098b2cc2,false,false,,,
BNK-0000048,BANK,BANK,MATCHED,M014-8319478d,false,false,,,
BNK-0000049,BANK,BANK,MATCHED,M007-0c621de4,false,false,,,
BNK-0000050,BANK,BANK,MATCHED,M010-45fda998,false,false,,,
BNK-0000051,BANK,BANK,MATCHED,M009-9fc35526,false,false,,,
BNK-0000052,BANK,BANK,MATCHED,M016-ed46725a,false,false,,,
BNK-0000053,BANK,BANK,MATCHED,M011-60dcd6c8,false,false,,,
BNK-0000054,BANK,BANK,MATCHED,M002-b46287cc,false,false,,,
BNK-0000055,BANK,BANK,MATCHED,M014-41dff02c,false,false,,,
BNK-0000056,BANK,BANK,MATCHED,M017-37443e21,false,false,,,
BNK-0000057,BANK,BANK,MATCHED,M019-48d33296,false,false,,,
BNK-0000058,BANK,BANK,MATCHED,M008-9e8a7f77,false,false,,,
BNK-0000059,BANK,BANK,MATCHED,M002-d287db7f,false,false,,,
BNK-0000060,BANK,BANK,MATCHED,M012-926f6967,false,false,,,
BNK-0000061,BANK,BANK,MATCHED,M009-f57fd14c,false,false,,,
BNK-0000062,BANK,BANK,MATCHED,M001-15cea325,false,false,,,
BNK-0000063,BANK,BANK,MATCHED,M006-cbae5302,false,false,,,
BNK-0000064,BANK,BANK,MATCHED,M012-6cb9d21f,false,false,,,
BNK-0000065,BANK,BANK,MATCHED,M018-bf0d7c1c,false,false,,,
BNK-0000066,BANK,BANK,MATCHED,M009-ab8a18a8,false,false,,,
BNK-0000067,BANK,BANK,MATCHED,M020-3fec8df4,false,false,,,
BNK-0000068,BANK,BANK,MATCHED,M006-47aaeb26,false,false,,,
BNK-0000069,BANK,BANK,MATCHED,M006-1fa5d328,false,false,,,
BNK-0000070,BANK,BANK,MATCHED,M007-e574de73,false,false,,,
BNK-0000071,BANK,BANK,MATCHED,M010-8b886e75,false,false,,,
BNK-0000072,BANK,BANK,MATCHED,M005-6a2c8773,false,false,,,
BNK-0000073,BANK,BANK,MATCHED,M002-7eb19731,false,false,,,
BNK-0000074,BANK,BANK,MATCHED,M019-b5e803b6,false,false,,,
BNK-0000075,BANK,BANK,MATCHED,M002-60adb592,false,false,,,
BNK-0000076,BANK,BANK,MATCHED,M016-3c425c8d,false,false,,,
BNK-0000077,BANK,BANK,MATCHED,M010-bdd0b6cc,false,false,,,
BNK-0000078,BANK,BANK,MATCHED,M001-d32cbe54,false,false,,,
BNK-0000079,BANK,BANK,TIMING_DIFFERENCE,M013-b54b9552,false,false,,,
BNK-0000080,BANK,BANK,MATCHED,M007-fa1c257c,false,false,,,
BNK-0000081,BANK,BANK,MATCHED,M007-61c5cb34,false,false,,,
BNK-0000082,BANK,BANK,MATCHED,M007-1a3ce9d9,false,false,,,
BNK-0000083,BANK,BANK,MATCHED,M014-ee500fe7,false,false,,,
BNK-0000084,BANK,BANK,TIMING_DIFFERENCE,M020-fc324bdb,false,false,,,
BNK-0000085,BANK,BANK,MATCHED,M017-42a21c40,false,false,,,
BNK-0000086,BANK,BANK,MATCHED,M020-f9572b85,false,false,,,
BNK-0000087,BANK,BANK,MATCHED,M020-48f687ab,false,false,,,
BNK-0000088,BANK,BANK,MATCHED,M006-c5831be3,false,false,,,
BNK-0000089,BANK,BANK,MATCHED,M018-8cb4ba2e,false,false,,,
BNK-0000090,BANK,BANK,MATCHED,M020-89a01749,false,false,,,
BNK-0000091,BANK,BANK,MATCHED,M014-14f71010,false,false,,,
BNK-0000092,BANK,BANK,MATCHED,M010-7d946bf5,false,false,,,
BNK-0000093,BANK,BANK,MATCHED,M008-248c801b,false,false,,,
BNK-0000094,BANK,BANK,MATCHED,M019-f750110c,false,false,,,
BNK-0000096,BANK,BANK,MATCHED,M002-0cde2e57,false,false,,,
BNK-0000097,BANK,BANK,MATCHED,M009-3a818d89,false,false,,,
BNK-0000098,BANK,BANK,MATCHED,M007-058765a6,false,false,,,
BNK-0000099,BANK,BANK,MATCHED,M011-ff00d796,false,false,,,
BNK-0000100,BANK,BANK,MATCHED,M019-410335b4,false,false,,,
BNK-0000101,BANK,BANK,TIMING_DIFFERENCE,M001-1212b62c,false,false,,,
BNK-0000102,BANK,BANK,MATCHED,M007-29f34369,false,false,,,
BNK-0000103,BANK,BANK,MATCHED,M014-891baf90,false,false,,,
BNK-0000104,BANK,BANK,MATCHED,M001-bf16295d,false,false,,,
BNK-0000105,BANK,BANK,MATCHED,M002-3f5fb859,false,false,,,
BNK-0000106,BANK,BANK,MATCHED,M008-2f3ab3cc,false,false,,,
BNK-0000107,BANK,BANK,MATCHED,M003-0b698d5c,false,false,,,
BNK-0000108,BANK,BANK,MATCHED,M008-1ba4ea5e,false,false,,,
BNK-0000109,BANK,BANK,MATCHED,M009-e7689447,false,false,,,
BNK-0000110,BANK,BANK,MATCHED,M020-a683536c,false,false,,,
BNK-0000111,BANK,BANK,MATCHED,M005-d863386c,false,false,,,
BNK-0000112,BANK,BANK,MATCHED,M001-79e048c0,false,false,,,
BNK-0000113,BANK,BANK,MATCHED,M014-753eda83,false,false,,,
BNK-0000114,BANK,BANK,MATCHED,M008-58dfe0d5,false,false,,,
BNK-0000115,BANK,BANK,MATCHED,M011-318656b3,false,false,,,
BNK-0000116,BANK,BANK,MATCHED,M015-0bade65c,false,false,,,
BNK-0000117,BANK,BANK,MATCHED,M004-88cc102d,false,false,,,
BNK-0000118,BANK,BANK,MATCHED,M012-9c7ce654,false,false,,,
BNK-0000119,BANK,BANK,MATCHED,M003-74bde94f,false,false,,,
BNK-0000120,BANK,BANK,MATCHED,M008-8d5f08b7,false,false,,,
BNK-0000121,BANK,BANK,MATCHED,M011-2b49c12a,false,false,,,
BNK-0000122,BANK,BANK,MATCHED,M005-00629834,false,false,,,
BNK-0000123,BANK,BANK,MATCHED,M006-6c5296f6,false,false,,,
BNK-0000124,BANK,BANK,MATCHED,M015-8d74ff1f,false,false,,,
BNK-0000125,BANK,BANK,MATCHED,M005-505aef9e,false,false,,,
BNK-0000126,BANK,BANK,MATCHED,M014-b001a3ff,false,false,,,
BNK-0000127,BANK,BANK,MATCHED,M005-4a3baf69,false,false,,,
BNK-0000128,BANK,BANK,MATCHED,M014-99bfca8b,false,false,,,
BNK-0000129,BANK,BANK,MATCHED,M016-a9421cc1,false,false,,,
BNK-0000130,BANK,BANK,MATCHED,M004-f1c4261e,false,false,,,
BNK-0000131,BANK,BANK,MATCHED,M006-1d30b498,false,false,,,
BNK-0000132,BANK,BANK,MATCHED,M006-0d1f13dc,false,false,,,
BNK-0000133,BANK,BANK,MATCHED,M001-4fd32f64,false,false,,,
BNK-0000134,BANK,BANK,MATCHED,M014-2634f087,false,false,,,
BNK-0000136,BANK,BANK,MATCHED,M020-95f1abef,false,false,,,
BNK-0000137,BANK,BANK,MATCHED,M005-5dfce8a9,false,false,,,
BNK-0000138,BANK,BANK,MATCHED,M020-049d7ccc,false,false,,,
