txn_uid,business_date,txn_ref,net_amount_minor,currency,side,source_system,event_ts
BNK-0000000,2026-07-06,M011-123b1612,207201,EUR,CREDIT,BANK,2026-07-06 20:20:28
BNK-0000001,2026-07-06,M003-d1371c17,47759,EUR,CREDIT,BANK,2026-07-06 23:14:05
BNK-0000002,2026-07-06,M014-9536b321,283675,EUR,CREDIT,BANK,2026-07-06 22:45:05
BNK-0000003,2026-07-06,M016-eeb97572,407591,JPY,CREDIT,BANK,2026-07-06 16:44:15
BNK-0000004,2026-07-06,M017-e923d5a4,458924,JPY,CREDIT,BANK,2026-07-06 13:02:19
BNK-0000005,2026-07-06,M014-aabfe228,350537,USD,CREDIT,BANK,2026-07-06 23:11:30
BNK-0000006,2026-07-06,M003-e9cb0eb5,383538,USD,CREDIT,BANK,2026-07-06 00:25:35
BNK-0000007,2026-07-06,M016-47ccf25e,114603,USD,CREDIT,BANK,2026-07-06 07:57:37
BNK-0000008,2026-07-06,M009-8dbc7425,429738,EUR,CREDIT,BANK,2026-07-06 09:43:12
BNK-0000009,2026-07-06,M008-58904dba,254460,USD,CREDIT,BANK,2026-07-06 06:46:50
BNK-0000010,2026-07-06,M017-cccc3fc1,239612,USD,CREDIT,BANK,2026-07-06 19:11:23
BNK-0000011,2026-07-06,M007-a13043b0,85193,JPY,CREDIT,BANK,2026-07-06 03:19:24
BNK-0000012,2026-07-06,M007-8bbf33fe,77983,JPY,CREDIT,BANK,2026-07-06 01:58:17
BNK-0000013,2026-07-06,M010-a8f506b4,75759,USD,CREDIT,BANK,2026-07-06 00:33:44
BNK-0000014,2026-07-06,M001-8b5b7a76,337323,GBP,CREDIT,BANK,2026-07-06 02:40:34
BNK-0000015,2026-07-06,M013-fb008f86,105014,EUR,CREDIT,BANK,2026-07-06 04:04:23
BNK-0000016,2026-07-06,M012-b2737f6a,424021,JPY,CREDIT,BANK,2026-07-06 18:36:53
BNK-0000017,2026-07-06,M020-b23c6f5d,251582,USD,CREDIT,BANK,2026-07-06 07:37:58
BNK-0000018,2026-07-06,M011-ec255404,420062,USD,CREDIT,BANK,2026-07-06 05:02:32
BNK-0000019,2026-07-06,M015-fb440034,320840,EUR,CREDIT,BANK,2026-07-06 13:51:41
BNK-0000020,2026-07-06,M007-697a8d41,14876,EUR,CREDIT,BANK,2026-07-06 20:23:55
BNK-0000021,2026-07-06,M012-d440e504,347427,JPY,CREDIT,BANK,2026-07-06 19:37:10
BNK-0000022,2026-07-06,M016-af317681,291953,USD,CREDIT,BANK,2026-07-06 08:39:33
BNK-0000023,2026-07-06,M017-2ea68ef7,294607,JPY,CREDIT,BANK,2026-07-06 10:53:09
BNK-0000024,2026-07-06,M009-4d3cea27,440601,EUR,CREDIT,BANK,2026-07-06 19:10:28
BNK-0000025,2026-07-06,M007-4b484e73,411258,GBP,CREDIT,BANK,2026-07-06 08:08:30
BNK-0000026,2026-07-08,M016-5dcad6ba,350336,EUR,CREDIT,BANK,2026-07-08 19:04:51
BNK-0000027,2026-07-06,M001-e0ca9237,290731,GBP,CREDIT,BANK,2026-07-06 09:24:50
BNK-0000028,2026-07-06,M004-1584d8c4,139432,USD,CREDIT,BANK,2026-07-06 00:26:57
BNK-0000029,2026-07-06,M017-2815d280,367320,JPY,CREDIT,BANK,2026-07-06 15:12:57
BNK-0000030,2026-07-06,M009-283e0ad8,319060,USD,CREDIT,BANK,2026-07-06 23:49:57
BNK-0000031,2026-07-06,M002-58156996,492048,EUR,CREDIT,BANK,2026-07-06 21:45:18
BNK-0000032,2026-07-06,M017-081006f7,142031,EUR,CREDIT,BANK,2026-07-06 12:45:49
BNK-0000033,2026-07-06,M004-c967a64c,344300,JPY,CREDIT,BANK,2026-07-06 03:22:05
BNK-0000034,2026-07-06,M002-8d512c97,7742,EUR,CREDIT,BANK,2026-07-06 17:04:40
BNK-0000035,2026-07-06,M002-8e08baa7,97277,JPY,CREDIT,BANK,2026-07-06 21:19:38
BNK-0000036,2026-07-06,M012-c2f86702,1030,EUR,CREDIT,BANK,2026-07-06 21:34:17
BNK-0000037,2026-07-06,M003-1c099724,209658,EUR,CREDIT,BANK,2026-07-06 15:28:05
BNK-0000038,2026-07-06,M020-f4941d40,400819,JPY,CREDIT,BANK,2026-07-06 20:00:18
BNK-0000039,2026-07-06,M019-14b3ce10,44812,EUR,CREDIT,BANK,2026-07-06 20:38:49
BNK-0000040,2026-07-06,M008-e222f828,138403,JPY,CREDIT,BANK,2026-07-06 00:41:55
BNK-0000041,2026-07-06,M007-efc2f916,388083,EUR,CREDIT,BANK,2026-07-06 17:23:51
BNK-0000042,2026-07-06,M005-940f1f83,133387,GBP,CREDIT,BANK,2026-07-06 16:14:44
BNK-0000043,2026-07-06,M016-9eee3692,371902,GBP,CREDIT,BANK,2026-07-06 01:03:11
BNK-0000044,2026-07-06,M001-e8c66224,240882,GBP,CREDIT,BANK,2026-07-06 07:00:57
BNK-0000045,2026-07-06,M009-83b7ffc0,69773,GBP,CREDIT,BANK,2026-07-06 11:48:03
BNK-0000046,2026-07-06,M016-4dbca3a0,212656,JPY,CREDIT,BANK,2026-07-06 08:54:01
BNK-0000047,2026-07-06,M011-098b2cc2,63036,JPY,CREDIT,BANK,2026-07-06 17:34:37
BNK-0000048,2026-07-06,M014-8319478d,448125,GBP,CREDIT,BANK,2026-07-06 21:17:52
BNK-0000049,2026-07-06,M007-0c621de4,411890,GBP,CREDIT,BANK,2026-07-06 00:25:17
BNK-0000050,2026-07-06,M010-45fda998,25778,JPY,CREDIT,BANK,2026-07-06 23:58:53
BNK-0000051,2026-07-06,M009-9fc35526,344030,JPY,CREDIT,BANK,2026-07-06 16:00:12
BNK-0000052,2026-07-06,M016-ed46725a,237695,EUR,CREDIT,BANK,2026-07-06 10:03:35
BNK-0000053,2026-07-06,M011-60dcd6c8,193298,EUR,CREDIT,BANK,2026-07-06 04:13:19
BNK-0000054,2026-07-06,M002-b46287cc,145598,JPY,CREDIT,BANK,2026-07-06 10:52:33
BNK-0000055,2026-07-06,M014-41dff02c,445204,GBP,CREDIT,BANK,2026-07-06 09:44:17
BNK-0000056,2026-07-06,M017-37443e21,235479,JPY,CREDIT,BANK,2026-07-06 21:45:21
BNK-0000057,2026-07-06,M019-48d33296,338630,USD,CREDIT,BANK,2026-07-06 09:07:24
BNK-0000058,2026-07-06,M008-9e8a7f77,5811,USD,CREDIT,BANK,2026-07-06 18:18:01
BNK-0000059,2026-07-06,M002-d287db7f,101972,USD,CREDIT,BANK,2026-07-06 04:09:54
BNK-0000060,2026-07-06,M012-926f6967,103950,JPY,CREDIT,BANK,2026-07-06 08:06:16
BNK-0000061,2026-07-06,M009-f57fd14c,57401,GBP,CREDIT,BANK,2026-07-06 21:24:08
BNK-0000062,2026-07-06,M001-15cea325,217981,EUR,CREDIT,BANK,2026-07-06 17:42:33
BNK-0000063,2026-07-06,M006-cbae5302,16821,JPY,CREDIT,BANK,2026-07-06 01:57:07
BNK-0000064,2026-07-06,M012-6cb9d21f,464185,JPY,CREDIT,BANK,2026-07-06 12:03:52
BNK-0000065,2026-07-06,M018-bf0d7c1c,101301,JPY,CREDIT,BANK,2026-07-06 10:49:43
BNK-0000066,2026-07-06,M009-ab8a18a8,391993,EUR,CREDIT,BANK,2026-07-06 19:27:12
BNK-0000067,2026-07-06,M020-3fec8df4,12917,USD,CREDIT,BANK,2026-07-06 05:36:26
BNK-0000068,2026-07-06,M006-47aaeb26,420976,USD,CREDIT,BANK,2026-07-06 15:29:06
BNK-0000069,2026-07-06,M006-1fa5d328,213981,EUR,CREDIT,BANK,2026-07-06 20:44:34
BNK-0000070,2026-07-06,M007-e574de73,220956,USD,CREDIT,BANK,2026-07-06 10:33:38
BNK-0000071,2026-07-06,M010-8b886e75,146734,GBP,CREDIT,BANK,2026-07-06 02:24:16
BNK-0000072,2026-07-06,M005-6a2c8773,463808,GBP,CREDIT,BANK,2026-07-06 22:19:09
BNK-0000073,2026-07-06,M002-7eb19731,2773,USD,CREDIT,BANK,2026-07-06 15:31:17
BNK-0000074,2026-07-06,M019-b5e803b6,487878,EUR,CREDIT,BANK,2026-07-06 22:15:40
BNK-0000075,2026-07-06,M002-60adb592,133848,EUR,CREDIT,BANK,2026-07-06 06:54:16
BNK-0000076,2026-07-06,M016-3c425c8d,33272,JPY,CREDIT,BANK,2026-07-06 16:23:35
BNK-0000077,2026-07-06,M010-bdd0b6cc,27027,JPY,CREDIT,BANK,2026-07-06 20:38:39
BNK-0000078,2026-07-06,M001-d32cbe54,472814,JPY,CREDIT,BANK,2026-07-06 15:26:39
BNK-0000079,2026-07-08,M013-b54b9552,300545,USD,CREDIT,BANK,2026-07-08 02:48:18
BNK-0000080,2026-07-06,M007-fa1c257c,66651,GBP,CREDIT,BANK,2026-07-06 22:27:11
BNK-0000081,2026-07-06,M007-61c5cb34,96026,JPY,CREDIT,BANK,2026-07-06 18:57:33
BNK-0000082,2026-07-06,M007-1a3ce9d9,463598,USD,CREDIT,BANK,2026-07-06 15:16:12
BNK-0000083,2026-07-06,M014-ee500fe7,345523,JPY,CREDIT,BANK,2026-07-06 16:31:28
BNK-0000084,2026-07-08,M020-fc324bdb,438690,JPY,CREDIT,BANK,2026-07-08 04:24:13
BNK-0000085,2026-07-06,M017-42a21c40,21513,USD,CREDIT,BANK,2026-07-06 13:34:13
BNK-0000086,2026-07-06,M020-f9572b85,101758,USD,CREDIT,BANK,2026-07-06 06:30:16
BNK-0000087,2026-07-06,M020-48f687ab,474763,GBP,CREDIT,BANK,2026-07-06 20:12:43
BNK-0000088,2026-07-06,M006-c5831be3,356598,GBP,CREDIT,BANK,2026-07-06 21:18:20
BNK-0000089,2026-07-06,M018-8cb4ba2e,386984,JPY,CREDIT,BANK,2026-07-06 21:57:03
BNK-0000090,2026-07-06,M020-89a01749,155590,USD,CREDIT,BANK,2026-07-06 13:59:26
BNK-0000091,2026-07-06,M014-14f71010,268890,JPY,CREDIT,BANK,2026-07-06 12:44:47
