txn_uid,business_date,txn_ref,amount_minor,currency,side,source_system,event_ts
INT-0000000,2026-07-06,M011-123b1612,207501,EUR,DEBIT,INTERNAL,2026-07-06 23:41:59
INT-0000001,2026-07-06,M003-d1371c17,48059,EUR,DEBIT,INTERNAL,2026-07-06 20:03:46
INT-0000002,2026-07-06,M014-9536b321,283975,EUR,DEBIT,INTERNAL,2026-07-06 04:17:19
INT-0000003,2026-07-06,M016-eeb97572,407991,JPY,DEBIT,INTERNAL,2026-07-06 11:26:15
INT-0000004,2026-07-06,M017-e923d5a4,459324,JPY,DEBIT,INTERNAL,2026-07-06 12:30:20
INT-0000005,2026-07-06,M014-aabfe228,350837,USD,DEBIT,INTERNAL,2026-07-06 02:49:33
INT-0000006,2026-07-06,M003-e9cb0eb5,383838,USD,DEBIT,INTERNAL,2026-07-06 11:16:20
INT-0000007,2026-07-06,M016-47ccf25e,114903,USD,DEBIT,INTERNAL,2026-07-06 10:27:54
INT-0000008,2026-07-06,M009-8dbc7425,430038,EUR,DEBIT,INTERNAL,2026-07-06 15:40:29
INT-0000009,2026-07-06,M008-58904dba,254760,USD,DEBIT,INTERNAL,2026-07-06 21:26:57
INT-0000010,2026-07-06,M017-cccc3fc1,239912,USD,DEBIT,INTERNAL,2026-07-06 20:21:44
INT-0000011,2026-07-06,M007-a13043b0,85593,JPY,DEBIT,INTERNAL,2026-07-06 04:00:08
INT-0000012,2026-07-06,M007-8bbf33fe,78383,JPY,DEBIT,INTERNAL,2026-07-06 23:05:53
INT-0000013,2026-07-06,M010-a8f506b4,76059,USD,DEBIT,INTERNAL,2026-07-06 03:43:13
INT-0000014,2026-07-06,M001-8b5b7a76,337573,GBP,DEBIT,INTERNAL,2026-07-06 03:18:48
INT-0000015,2026-07-06,M013-fb008f86,105314,EUR,DEBIT,INTERNAL,2026-07-06 18:50:47
INT-0000016,2026-07-06,M012-b2737f6a,424421,JPY,DEBIT,INTERNAL,2026-07-06 12:43:32
INT-0000017,2026-07-06,M020-b23c6f5d,251882,USD,DEBIT,INTERNAL,2026-07-06 23:46:27
INT-0000018,2026-07-06,M011-ec255404,420362,USD,DEBIT,INTERNAL,2026-07-06 14:24:43
INT-0000019,2026-07-06,M015-fb440034,321140,EUR,DEBIT,INTERNAL,2026-07-06 21:41:41
INT-0000020,2026-07-06,M007-697a8d41,15176,EUR,DEBIT,INTERNAL,2026-07-06 09:10:08
INT-0000021,2026-07-06,M012-d440e504,347827,JPY,DEBIT,INTERNAL,2026-07-06 21:14:20
INT-0000022,2026-07-06,M016-af317681,292253,USD,DEBIT,INTERNAL,2026-07-06 02:14:54
INT-0000023,2026-07-06,M017-2ea68ef7,295007,JPY,DEBIT,INTERNAL,2026-07-06 01:00:52
INT-0000024,2026-07-06,M009-4d3cea27,440901,EUR,DEBIT,INTERNAL,2026-07-06 16:17:38
INT-0000025,2026-07-06,M007-4b484e73,411508,GBP,DEBIT,INTERNAL,2026-07-06 04:27:16
INT-0000026,2026-07-06,M016-5dcad6ba,350636,EUR,DEBIT,INTERNAL,2026-07-06 08:08:42
INT-0000027,2026-07-06,M001-e0ca9237,290981,GBP,DEBIT,INTERNAL,2026-07-06 16:41:58
INT-0000028,2026-07-06,M004-1584d8c4,139732,USD,DEBIT,INTERNAL,2026-07-06 09:54:01
INT-0000029,2026-07-06,M017-2815d280,367720,JPY,DEBIT,INTERNAL,2026-07-06 11:54:26
INT-0000030,2026-07-06,M009-283e0ad8,319360,USD,DEBIT,INTERNAL,2026-07-06 08:05:51
INT-0000031,2026-07-06,M002-58156996,492348,EUR,DEBIT,INTERNAL,2026-07-06 03:59:06
INT-0000032,2026-07-06,M017-081006f7,142331,EUR,DEBIT,INTERNAL,2026-07-06 12:38:02
INT-0000033,2026-07-06,M004-c967a64c,344700,JPY,DEBIT,INTERNAL,2026-07-06 18:01:20
INT-0000034,2026-07-06,M002-8d512c97,7973,EUR,DEBIT,INTERNAL,2026-07-06 02:34:29
INT-0000035,2026-07-06,M002-8e08baa7,97677,JPY,DEBIT,INTERNAL,2026-07-06 05:44:08
INT-0000036,2026-07-06,M012-c2f86702,1060,EUR,DEBIT,INTERNAL,2026-07-06 12:12:32
INT-0000037,2026-07-06,M003-1c099724,209958,EUR,DEBIT,INTERNAL,2026-07-06 21:21:53
INT-0000038,2026-07-06,M020-f4941d40,401219,JPY,DEBIT,INTERNAL,2026-07-06 11:52:27
INT-0000039,2026-07-06,M019-14b3ce10,45112,EUR,DEBIT,INTERNAL,2026-07-06 01:08:04
INT-0000040,2026-07-06,M008-e222f828,138803,JPY,DEBIT,INTERNAL,2026-07-06 00:07:14
INT-0000041,2026-07-06,M007-efc2f916,388383,EUR,DEBIT,INTERNAL,2026-07-06 23:39:47
INT-0000042,2026-07-06,M005-940f1f83,133637,GBP,DEBIT,INTERNAL,2026-07-06 23:43:17
INT-0000043,2026-07-06,M016-9eee3692,372152,GBP,DEBIT,INTERNAL,2026-07-06 18:48:23
INT-0000044,2026-07-06,M001-e8c66224,241132,GBP,DEBIT,INTERNAL,2026-07-06 02:47:02
INT-0000045,2026-07-06,M009-83b7ffc0,70023,GBP,DEBIT,INTERNAL,2026-07-06 21:58:04
INT-0000046,2026-07-06,M016-4dbca3a0,213056,JPY,DEBIT,INTERNAL,2026-07-06 10:59:37
INT-0000047,2026-07-06,M011-098b2cc2,63436,JPY,DEBIT,INTERNAL,2026-07-06 07:07:36
INT-0000048,2026-07-06,M014-8319478d,448375,GBP,DEBIT,INTERNAL,2026-07-06 01:45:26
INT-0000049,2026-07-06,M007-0c621de4,412140,GBP,DEBIT,INTERNAL,2026-07-06 15:34:25
INT-0000050,2026-07-06,M010-45fda998,26178,JPY,DEBIT,INTERNAL,2026-07-06 20:01:43
INT-0000051,2026-07-06,M009-9fc35526,344430,JPY,DEBIT,INTERNAL,2026-07-06 08:41:22
INT-0000052,2026-07-06,M016-ed46725a,237995,EUR,DEBIT,INTERNAL,2026-07-06 12:07:05
INT-0000053,2026-07-06,M011-60dcd6c8,193598,EUR,DEBIT,INTERNAL,2026-07-06 09:24:23
INT-0000054,2026-07-06,M002-b46287cc,145998,JPY,DEBIT,INTERNAL,2026-07-06 20:54:32
INT-0000055,2026-07-06,M014-41dff02c,445454,GBP,DEBIT,INTERNAL,2026-07-06 00:47:38
INT-0000056,2026-07-06,M017-37443e21,235879,JPY,DEBIT,INTERNAL,2026-07-06 09:02:46
INT-0000057,2026-07-06,M019-48d33296,338930,USD,DEBIT,INTERNAL,2026-07-06 11:03:37
INT-0000058,2026-07-06,M008-9e8a7f77,5984,USD,DEBIT,INTERNAL,2026-07-06 19:34:08
INT-0000059,2026-07-06,M002-d287db7f,102272,USD,DEBIT,INTERNAL,2026-07-06 18:08:34
INT-0000060,2026-07-06,M012-926f6967,104350,JPY,DEBIT,INTERNAL,2026-07-06 00:14:45
INT-0000061,2026-07-06,M009-f57fd14c,57651,GBP,DEBIT,INTERNAL,2026-07-06 22:42:16
INT-0000062,2026-07-06,M001-15cea325,218281,EUR,DEBIT,INTERNAL,2026-07-06 01:53:14
INT-0000063,2026-07-06,M006-cbae5302,17221,JPY,DEBIT,INTERNAL,2026-07-06 11:21:11
INT-0000064,2026-07-06,M012-6cb9d21f,464585,JPY,DEBIT,INTERNAL,2026-07-06 04:30:14
INT-0000065,2026-07-06,M018-bf0d7c1c,101701,JPY,DEBIT,INTERNAL,2026-07-06 11:46:16
INT-0000066,2026-07-06,M009-ab8a18a8,392293,EUR,DEBIT,INTERNAL,2026-07-06 02:17:18
INT-0000067,2026-07-06,M020-3fec8df4,13217,USD,DEBIT,INTERNAL,2026-07-06 08:30:53
INT-0000068,2026-07-06,M006-47aaeb26,421276,USD,DEBIT,INTERNAL,2026-07-06 11:02:36
INT-0000069,2026-07-06,M006-1fa5d328,214281,EUR,DEBIT,INTERNAL,2026-07-06 02:21:24
INT-0000070,2026-07-06,M007-e574de73,221256,USD,DEBIT,INTERNAL,2026-07-06 18:08:56
INT-0000071,2026-07-06,M010-8b886e75,146984,GBP,DEBIT,INTERNAL,2026-07-06 20:38:22
INT-0000072,2026-07-06,M005-6a2c8773,464058,GBP,DEBIT,INTERNAL,2026-07-06 21:03:16
INT-0000073,2026-07-06,M002-7eb19731,2855,USD,DEBIT,INTERNAL,2026-07-06 17:17:08
INT-0000074,2026-07-06,M019-b5e803b6,488178,EUR,DEBIT,INTERNAL,2026-07-06 02:44:05
INT-0000075,2026-07-06,M002-60adb592,134148,EUR,DEBIT,INTERNAL,2026-07-06 01:23:31
INT-0000076,2026-07-06,M016-3c425c8d,33672,JPY,DEBIT,INTERNAL,2026-07-06 14:51:39
INT-0000077,2026-07-06,M010-bdd0b6cc,27427,JPY,DEBIT,INTERNAL,2026-07-06 11:22:21
INT-0000078,2026-07-06,M001-d32cbe54,473214,JPY,DEBIT,INTERNAL,2026-07-06 05:42:01
INT-0000079,2026-07-06,M013-b54b9552,300845,USD,DEBIT,INTERNAL,2026-07-06 22:39:12
INT-0000080,2026-07-06,M007-fa1c257c,66901,GBP,DEBIT,INTERNAL,2026-07-06 01:35:01
INT-0000081,2026-07-06,M007-61c5cb34,96426,JPY,DEBIT,INTERNAL,2026-07-06 20:35:11
INT-0000082,2026-07-06,M007-1a3ce9d9,463898,USD,DEBIT,INTERNAL,2026-07-06 20:28:27
INT-0000083,2026-07-06,M014-ee500fe7,345923,JPY,DEBIT,INTERNAL,2026-07-06 13:22:42
INT-0000084,2026-07-06,M020-fc324bdb,439090,JPY,DEBIT,INTERNAL,2026-07-06 06:32:16
INT-0000085,2026-07-06,M017-42a21c40,21813,USD,DEBIT,INTERNAL,2026-07-06 23:10:19
INT-0000086,2026-07-06,M020-f9572b85,102058,USD,DEBIT,INTERNAL,2026-07-06 04:47:31
INT-0000087,2026-07-06,M020-48f687ab,475013,GBP,DEBIT,INTERNAL,2026-07-06 16:37:01
INT-0000088,2026-07-06,M006-c5831be3,356848,GBP,DEBIT,INTERNAL,2026-07-06 11:56:08
INT-0000089,2026-07-06,M018-8cb4ba2e,387384,JPY,DEBIT,INTERNAL,2026-07-06 13:31:28
INT-0000090,2026-07-06,M020-89a01749,155890,USD,DEBIT,INTERNAL,2026-07-06 18:47:27
INT-0000091,2026-07-06,M014-14f71010,269290,JPY,DEBIT,INTERNAL,2026-07-06 13:15:23
INT-0000092,2026-07-06,M010-7d946bf5,274749,USD,DEBIT,INTERNAL,2026-07-06 13:00:12
INT-0000093,2026-07-06,M008-248c801b,236876,EUR,DEBIT,INTERNAL,2026-07-06 03:29:17
INT-0000094,2026-07-06,M019-f750110c,316059,JPY,DEBIT,INTERNAL,2026-07-06 18:50:40
INT-0000095,2026-07-06,M006-064d6d59,478515,USD,DEBIT,INTERNAL,2026-07-06 03:49:11
INT-0000096,2026-07-06,M002-0cde2e57,375574,JPY,DEBIT,INTERNAL,2026-07-06 19:36:09
INT-0000097,2026-07-06,M009-3a818d89,338151,EUR,DEBIT,INTERNAL,2026-07-06 01:24:47
INT-0000098,2026-07-06,M007-058765a6,461897,USD,DEBIT,INTERNAL,2026-07-06 18:28:29
INT-0000099,2026-07-06,M011-ff00d796,199440,EUR,DEBIT,INTERNAL,2026-07-06 22:57:46
INT-0000100,2026-07-06,M019-410335b4,296829,USD,DEBIT,INTERNAL,2026-07-06 06:14:44
INT-0000101,2026-07-06,M001-1212b62c,73062,USD,DEBIT,INTERNAL,2026-07-06 23:25:50
INT-0000102,2026-07-06,M007-29f34369,18252,USD,DEBIT,INTERNAL,2026-07-06 01:15:12
INT-0000103,2026-07-06,M014-891baf90,11467,GBP,DEBIT,INTERNAL,2026-07-06 12:46:33
INT-0000104,2026-07-06,M001-bf16295d,272407,JPY,DEBIT,INTERNAL,2026-07-06 03:34:44
INT-0000105,2026-07-06,M002-3f5fb859,182849,USD,DEBIT,INTERNAL,2026-07-06 17:52:13
INT-0000106,2026-07-06,M008-2f3ab3cc,87422,JPY,DEBIT,INTERNAL,2026-07-06 04:00:07
INT-0000107,2026-07-06,M003-0b698d5c,466303,JPY,DEBIT,INTERNAL,2026-07-06 23:30:54
INT-0000108,2026-07-06,M008-1ba4ea5e,67021,JPY,DEBIT,INTERNAL,2026-07-06 19:21:10
INT-0000109,2026-07-06,M009-e7689447,66590,EUR,DEBIT,INTERNAL,2026-07-06 12:09:45
INT-0000110,2026-07-06,M020-a683536c,84870,GBP,DEBIT,INTERNAL,2026-07-06 08:36:00
INT-0000111,2026-07-06,M005-d863386c,384956,GBP,DEBIT,INTERNAL,2026-07-06 10:49:41
INT-0000112,2026-07-06,M001-79e048c0,448413,JPY,DEBIT,INTERNAL,2026-07-06 15:53:36
INT-0000113,2026-07-06,M014-753eda83,444044,JPY,DEBIT,INTERNAL,2026-07-06 08:19:18
INT-0000114,2026-07-06,M008-58dfe0d5,374396,JPY,DEBIT,INTERNAL,2026-07-06 22:55:24
INT-0000115,2026-07-06,M011-318656b3,204295,USD,DEBIT,INTERNAL,2026-07-06 17:50:04
INT-0000116,2026-07-06,M015-0bade65c,376569,EUR,DEBIT,INTERNAL,2026-07-06 17:19:15
INT-0000117,2026-07-06,M004-88cc102d,334769,GBP,DEBIT,INTERNAL,2026-07-06 02:03:41
INT-0000118,2026-07-06,M012-9c7ce654,57782,GBP,DEBIT,INTERNAL,2026-07-06 08:10:16
INT-0000119,2026-07-06,M003-74bde94f,246474,EUR,DEBIT,INTERNAL,2026-07-06 23:22:54
INT-0000120,2026-07-06,M008-8d5f08b7,369703,GBP,DEBIT,INTERNAL,2026-07-06 13:41:42
INT-0000121,2026-07-06,M011-2b49c12a,254737,JPY,DEBIT,INTERNAL,2026-07-06 15:36:03
INT-0000122,2026-07-06,M005-00629834,332459,GBP,DEBIT,INTERNAL,2026-07-06 21:12:23
INT-0000123,2026-07-06,M006-6c5296f6,182136,JPY,DEBIT,INTERNAL,2026-07-06 05:33:31
INT-0000124,2026-07-06,M015-8d74ff1f,291513,USD,DEBIT,INTERNAL,2026-07-06 04:18:41
INT-0000125,2026-07-06,M005-505aef9e,129771,JPY,DEBIT,INTERNAL,2026-07-06 18:08:16
INT-0000126,2026-07-06,M014-b001a3ff,95143,USD,DEBIT,INTERNAL,2026-07-06 23:11:38
INT-0000127,2026-07-06,M005-4a3baf69,112363,USD,DEBIT,INTERNAL,2026-07-06 15:07:52
INT-0000128,2026-07-06,M014-99bfca8b,290970,GBP,DEBIT,INTERNAL,2026-07-06 01:55:10
INT-0000129,2026-07-06,M016-a9421cc1,173984,USD,DEBIT,INTERNAL,2026-07-06 07:00:06
INT-0000130,2026-07-06,M004-f1c4261e,24825,USD,DEBIT,INTERNAL,2026-07-06 06:54:55
INT-0000131,2026-07-06,M006-1d30b498,348427,USD,DEBIT,INTERNAL,2026-07-06 06:36:03
INT-0000132,2026-07-06,M006-0d1f13dc,18452,JPY,DEBIT,INTERNAL,2026-07-06 11:35:43
INT-0000133,2026-07-06,M001-4fd32f64,311855,JPY,DEBIT,INTERNAL,2026-07-06 21:33:10
INT-0000134,2026-07-06,M014-2634f087,5390,USD,DEBIT,INTERNAL,2026-07-06 04:25:47
INT-0000135,2026-07-06,M006-29fe8110,192323,USD,DEBIT,INTERNAL,2026-07-06 05:16:19
INT-0000136,2026-07-06,M020-95f1abef,204421,USD,DEBIT,INTERNAL,2026-07-06 11:19:31
INT-0000137,2026-07-06,M005-5dfce8a9,190955,USD,DEBIT,INTERNAL,2026-07-06 23:28:46
INT-0000138,2026-07-06,M020-049d7ccc,456398,GBP,DEBIT,INTERNAL,2026-07-06 22:03:26
INT-0000139,2026-07-06,M008-a88d5194,149035,JPY,DEBIT,INTERNAL,2026-07-06 00:03:40
INT-0000140,2026-07-06,M019-fb2fc679,144075,EUR,DEBIT,INTERNAL,2026-07-06 19:56:47
INT-0000141,2026-07-06,M013-80ce2b27,371873,JPY,DEBIT,INTERNAL,2026-07-06 07:31:17
INT-0000142,2026-07-06,M017-af666625,464544,GBP,DEBIT,INTERNAL,2026-07-06 19:00:01
INT-0000143,2026-07-06,M010-bc471fb3,303468,GBP,DEBIT,INTERNAL,2026-07-06 20:33:01
INT-0000144,2026-07-06,M015-0b80316f,82370,USD,DEBIT,INTERNAL,2026-07-06 11:29:51
INT-0000145,2026-07-06,M007-d3e481a6,485726,GBP,DEBIT,INTERNAL,2026-07-06 10:11:17
INT-0000146,2026-07-06,M013-1bef2c32,14928,USD,DEBIT,INTERNAL,2026-07-06 01:51:24
INT-0000147,2026-07-06,M019-c5e5b775,336376,EUR,DEBIT,INTERNAL,2026-07-06 03:16:08
